month,country,flight_count
20190101,美国,563585
20190101,澳大利亚,61675
20190101,德国,60321
20190101,北爱尔兰,59779
20190101,印度,47574
20190101,意大利,39045
20190101,法国,36765
20190101,俄罗斯,34089
20190101,西班牙,30197
20190101,巴西,29563
20190201,美国,534389
20190201,北爱尔兰,62413
20190201,德国,59922
20190201,澳大利亚,57523
20190201,印度,39671
20190201,法国,35414
20190201,意大利,33614
20190201,西班牙,32865
20190201,俄罗斯,29765
20190201,巴西,27348
20190301,美国,602507
20190301,北爱尔兰,70193
20190301,德国,68203
20190301,澳大利亚,60272
20190301,法国,40974
20190301,印度,39556
20190301,意大利,36283
20190301,西班牙,35334
20190301,俄罗斯,32966
20190301,加拿大,32654
20190401,美国,602966
20190401,北爱尔兰,75400
20190401,德国,72655
20190401,澳大利亚,59046
20190401,法国,45293
20190401,意大利,39721
20190401,印度,38487
20190401,西班牙,37850
20190401,俄罗斯,33993
20190401,加拿大,31973
20190501,美国,687637
20190501,北爱尔兰,82671
20190501,德国,78882
20190501,澳大利亚,61033
20190501,法国,45178
20190501,意大利,41905
20190501,印度,41773
20190501,西班牙,40908
20190501,俄罗斯,37831
20190501,加拿大,36185
20190601,美国,685706
20190601,北爱尔兰,83170
20190601,德国,79453
20190601,澳大利亚,61101
20190601,意大利,49700
20190601,法国,46770
20190601,印度,43312
20190601,西班牙,40277
20190601,俄罗斯,37550
20190601,加拿大,34886
20190701,美国,763501
20190701,北爱尔兰,89127
20190701,德国,82851
20190701,澳大利亚,66278
20190701,意大利,54460
20190701,法国,49918
20190701,西班牙,43328
20190701,印度,42585
20190701,俄罗斯,41802
20190701,加拿大,38904
20190801,美国,851162
20190801,北爱尔兰,88215
20190801,德国,81614
20190801,澳大利亚,62681
20190801,意大利,52883
20190801,法国,48293
20190801,印度,45353
20190801,俄罗斯,42833
20190801,加拿大,42243
20190801,西班牙,42124
20190901,美国,776482
20190901,北爱尔兰,80430
20190901,德国,79519
20190901,澳大利亚,63108
20190901,意大利,45378
20190901,西班牙,45109
20190901,法国,44068
20190901,加拿大,40925
20190901,印度,39443
20190901,俄罗斯,38398
20191001,美国,885818
20191001,德国,84590
20191001,北爱尔兰,81207
20191001,澳大利亚,68293
20191001,西班牙,49271
20191001,意大利,47497
20191001,加拿大,46648
20191001,法国,45564
20191001,印度,44199
20191001,俄罗斯,35948
20191101,美国,848136
20191101,德国,68650
20191101,北爱尔兰,65909
20191101,澳大利亚,64681
20191101,印度,46004
20191101,加拿大,44954
20191101,意大利,38489
20191101,法国,37978
20191101,西班牙,37132
20191101,俄罗斯,32767
20191201,美国,852220
20191201,北爱尔兰,66498
20191201,澳大利亚,63473
20191201,德国,63288
20191201,印度,48762
20191201,加拿大,47581
20191201,西班牙,37690
20191201,法国,37590
20191201,意大利,37225
20191201,俄罗斯,31739
20200101,美国,876815
20200101,北爱尔兰,64392
20200101,德国,62918
20200101,澳大利亚,60880
20200101,印度,48689
20200101,加拿大,48440
20200101,法国,37984
20200101,意大利,35922
20200101,俄罗斯,32462
20200101,西班牙,31460
20200201,美国,895689
20200201,北爱尔兰,66154
20200201,德国,65189
20200201,澳大利亚,59142
20200201,加拿大,48831
20200201,印度,48503
20200201,法国,39229
20200201,西班牙,38001
20200201,意大利,36359
20200201,俄罗斯,30743
20200301,美国,791055
20200301,澳大利亚,55285
20200301,北爱尔兰,50043
20200301,德国,44446
20200301,加拿大,42967
