continent,airport,year,month,flight_count
Africa,FACT,2019,6,1499
Africa,FACT,2019,7,1814
Africa,FACT,2019,8,1992
Africa,FACT,2019,9,2062
Africa,FACT,2019,10,2359
Africa,FACT,2019,11,1968
Africa,FACT,2019,12,2425
Africa,FAOR,2019,1,196
Africa,FAOR,2019,2,99
Africa,FAOR,2019,3,75
Africa,FAOR,2019,4,212
Africa,FAOR,2019,5,4574
Africa,FAOR,2019,6,4514
Africa,FAOR,2019,7,4742
Africa,FAOR,2019,8,4415
Africa,FAOR,2019,9,4453
Africa,FAOR,2019,10,3533
Africa,FAOR,2019,11,5107
Africa,FAOR,2019,12,2357
Africa,LLBG,2019,1,1720
Africa,LLBG,2019,2,2418
Africa,LLBG,2019,3,1256
Africa,LLBG,2019,4,173
Africa,LLBG,2019,5,1156
Africa,LLBG,2019,6,4898
Africa,LLBG,2019,7,5922
Africa,LLBG,2019,8,4656
Africa,LLBG,2019,9,5304
Africa,LLBG,2019,10,6313
Africa,LLBG,2019,11,2694
Africa,LLBG,2019,12,2544
Africa,OBBI,2019,1,3828
Africa,OBBI,2019,2,2926
Africa,OBBI,2019,3,2041
Africa,OBBI,2019,4,3336
Africa,OBBI,2019,5,3530
Africa,OBBI,2019,6,3698
Africa,OBBI,2019,7,3905
Africa,OBBI,2019,8,4085
Africa,OBBI,2019,9,3527
Africa,OBBI,2019,10,3955
Africa,OBBI,2019,11,3738
Africa,OBBI,2019,12,3592
Africa,OERK,2019,1,3045
Africa,OERK,2019,2,3529
Africa,OERK,2019,3,3648
Africa,OERK,2019,4,3447
Africa,OERK,2019,5,3602
Africa,OERK,2019,6,5809
Africa,OERK,2019,7,7576
Africa,OERK,2019,8,6677
Africa,OERK,2019,9,3467
Africa,OERK,2019,10,2398
Africa,OERK,2019,11,1808
Africa,OERK,2019,12,3061
Africa,FACT,2020,1,1814
Africa,FACT,2020,2,2380
Africa,FACT,2020,3,1835
Africa,FACT,2020,4,71
Africa,FACT,2020,5,93
Africa,FACT,2020,6,188
Africa,FACT,2020,7,306
Africa,FACT,2020,8,402
Africa,FACT,2020,9,551
Africa,FACT,2020,10,787
Africa,FACT,2020,11,834
Africa,FACT,2020,12,1505
Africa,FAOR,2020,1,123
Africa,FAOR,2020,2,70
Africa,FAOR,2020,3,151
Africa,FAOR,2020,4,25
Africa,FAOR,2020,5,70
Africa,FAOR,2020,6,68
Africa,FAOR,2020,7,198
Africa,FAOR,2020,8,380
Africa,FAOR,2020,9,439
Africa,FAOR,2020,10,398
Africa,FAOR,2020,11,221
Africa,FAOR,2020,12,692
Africa,LLBG,2020,1,2579
Africa,LLBG,2020,2,2335
Africa,LLBG,2020,3,669
Africa,LLBG,2020,4,83
Africa,LLBG,2020,5,547
Africa,LLBG,2020,6,565
Africa,LLBG,2020,7,789
Africa,LLBG,2020,8,631
Africa,LLBG,2020,9,1078
Africa,LLBG,2020,10,1401
Africa,LLBG,2020,11,1365
Africa,LLBG,2020,12,1411
Africa,OBBI,2020,1,3728
Africa,OBBI,2020,2,3448
Africa,OBBI,2020,3,1798
Africa,OBBI,2020,4,781
Africa,OBBI,2020,5,786
Africa,OBBI,2020,6,949
Africa,OBBI,2020,7,1020
Africa,OBBI,2020,8,1023
Africa,OBBI,2020,9,1073
Africa,OBBI,2020,10,1188
Africa,OBBI,2020,11,1241
Africa,OBBI,2020,12,1413
Africa,OERK,2020,1,4329
Africa,OERK,2020,2,3297
Africa,OERK,2020,3,2257
Africa,OERK,2020,4,257
Africa,OERK,2020,5,612
Africa,OERK,2020,6,1461
Africa,OERK,2020,7,1081
Africa,OERK,2020,8,886
Africa,OERK,2020,9,1010
Africa,OERK,2020,10,1329
Africa,OERK,2020,11,712
Africa,OERK,2020,12,794
Africa,FACT,2021,1,1098
Africa,FACT,2021,2,911
Africa,FACT,2021,3,1337
Africa,FACT,2021,4,1569
Africa,FACT,2021,5,1463
Africa,FACT,2021,6,1335
Africa,FACT,2021,7,772
Africa,FACT,2021,8,946
Africa,FACT,2021,9,1398
Africa,FACT,2021,10,1704
Africa,FACT,2021,11,1879
Africa,FACT,2021,12,2196
Africa,FAOR,2021,1,466
Africa,FAOR,2021,2,722
Africa,FAOR,2021,3,1396
Africa,FAOR,2021,4,1841
Africa,FAOR,2021,5,1995
Africa,FAOR,2021,6,2212
Africa,FAOR,2021,7,1016
Africa,FAOR,2021,8,766
Africa,FAOR,2021,9,2420
Africa,FAOR,2021,10,2744
Africa,FAOR,2021,11,2420
Africa,FAOR,2021,12,2403
Africa,LLBG,2021,1,893
Africa,LLBG,2021,2,784
Africa,LLBG,2021,3,1416
Africa,LLBG,2021,4,1947
Africa,LLBG,2021,5,1987
Africa,LLBG,2021,6,3054
Africa,LLBG,2021,7,4268
Africa,LLBG,2021,8,3143
Africa,LLBG,2021,9,1918
Africa,LLBG,2021,10,2688
Africa,LLBG,2021,11,3537
Africa,LLBG,2021,12,3824
Africa,OBBI,2021,1,1411
Africa,OBBI,2021,2,1227
Africa,OBBI,2021,3,1448
Africa,OBBI,2021,4,1527
Africa,OBBI,2021,5,1697
Africa,OBBI,2021,6,1829
Africa,OBBI,2021,7,1946
Africa,OBBI,2021,8,2107
Africa,OBBI,2021,9,2036
Africa,OBBI,2021,10,2035
Africa,OBBI,2021,11,2104
Africa,OBBI,2021,12,2150
Africa,OERK,2021,1,982
Africa,OERK,2021,2,929
Africa,OERK,2021,3,1017
Africa,OERK,2021,4,1400
Africa,OERK,2021,5,1541
Africa,OERK,2021,6,2531
Africa,OERK,2021,7,2014
Africa,OERK,2021,8,2152
Africa,OERK,2021,9,2363
Africa,OERK,2021,10,1439
Africa,OERK,2021,11,1981
Africa,OERK,2021,12,2025
Africa,FACT,2022,1,2114
