continent,airport,year,month,flight_count
Africa,FACT,2019,6,1463
Africa,FACT,2019,7,1799
Africa,FACT,2019,8,1926
Africa,FACT,2019,9,2008
Africa,FACT,2019,10,2210
Africa,FACT,2019,11,1985
Africa,FACT,2019,12,2134
Africa,FAOR,2019,1,587
Africa,FAOR,2019,2,1178
Africa,FAOR,2019,3,1156
Africa,FAOR,2019,4,627
Africa,FAOR,2019,5,4412
Africa,FAOR,2019,6,4280
Africa,FAOR,2019,7,4594
Africa,FAOR,2019,8,4554
Africa,FAOR,2019,9,4441
Africa,FAOR,2019,10,4277
Africa,FAOR,2019,11,4970
Africa,FAOR,2019,12,2664
Africa,LLBG,2019,1,1659
Africa,LLBG,2019,2,2343
Africa,LLBG,2019,3,1112
Africa,LLBG,2019,4,168
Africa,LLBG,2019,5,626
Africa,LLBG,2019,6,2941
Africa,LLBG,2019,7,4489
Africa,LLBG,2019,8,3316
Africa,LLBG,2019,9,3592
Africa,LLBG,2019,10,4539
Africa,LLBG,2019,11,2418
Africa,LLBG,2019,12,3801
Africa,OBBI,2019,1,3582
Africa,OBBI,2019,2,2738
Africa,OBBI,2019,3,1853
Africa,OBBI,2019,4,3120
Africa,OBBI,2019,5,3258
Africa,OBBI,2019,6,3213
Africa,OBBI,2019,7,3403
Africa,OBBI,2019,8,3861
Africa,OBBI,2019,9,3334
Africa,OBBI,2019,10,3742
Africa,OBBI,2019,11,3477
Africa,OBBI,2019,12,3166
Africa,OERK,2019,1,7255
Africa,OERK,2019,2,6485
Africa,OERK,2019,3,7173
Africa,OERK,2019,4,6745
Africa,OERK,2019,5,6307
Africa,OERK,2019,6,5526
Africa,OERK,2019,7,5353
Africa,OERK,2019,8,5347
Africa,OERK,2019,9,4449
Africa,OERK,2019,10,5224
Africa,OERK,2019,11,5655
Africa,OERK,2019,12,5669
Africa,FACT,2020,1,1431
Africa,FACT,2020,2,2061
Africa,FACT,2020,3,1643
Africa,FACT,2020,4,74
Africa,FACT,2020,5,75
Africa,FACT,2020,6,177
Africa,FACT,2020,7,268
Africa,FACT,2020,8,393
Africa,FACT,2020,9,547
Africa,FACT,2020,10,747
Africa,FACT,2020,11,797
Africa,FACT,2020,12,1396
Africa,FAOR,2020,1,966
Africa,FAOR,2020,2,579
Africa,FAOR,2020,3,531
Africa,FAOR,2020,4,105
Africa,FAOR,2020,5,104
Africa,FAOR,2020,6,157
Africa,FAOR,2020,7,384
Africa,FAOR,2020,8,650
Africa,FAOR,2020,9,925
Africa,FAOR,2020,10,1311
Africa,FAOR,2020,11,1470
Africa,FAOR,2020,12,2288
